매입처명,상품명,현재고,품절예상월,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12,2027-01,2027-02,2027-03,2027-04,2027-05,2027-06
기타,오런에어폼(L)회,1744.0,2026-09,1011.0,551.0,-425.0,-1195.0,-1984.0,-3006.0,-3706.0,-4497.0,-4928.0,-5581.0,-6372.0,-6805.0
기타,오런에어폼(M)하늘,0.0,2026-07,-30.0,-56.0,-92.0,-112.0,-142.0,-165.0,-195.0,-231.0,-264.0,-277.0,-303.0,-333.0
기타,오런에어폼(M)회,-20.0,2026-07,-626.0,-914.0,-1357.0,-1895.0,-2574.0,-4050.0,-4891.0,-5396.0,-5936.0,-7015.0,-7764.0,-8325.0
기타,오런에어폼(S)핑,0.0,2026-07,-35.0,-54.0,-113.0,-140.0,-228.0,-245.0,-283.0,-310.0,-335.0,-407.0,-429.0,-464.0
기타,오런에어폼(S)회,-65.0,2026-07,-616.0,-1290.0,-1829.0,-2265.0,-2724.0,-3449.0,-4086.0,-4769.0,-5189.0,-5638.0,-6090.0,-6542.0
기타,오런예식10P(영남),-60.0,2026-07,-270.0,-456.0,-817.0,-1027.0,-1295.0,-1458.0,-1691.0,-1877.0,-2017.0,-2297.0,-2541.0,-2655.0
기타,오런오렌지이중코팅(A),0.0,2026-07,-100.0,-200.0,-300.0,-400.0,-500.0,-600.0,-700.0,-800.0,-900.0,-1000.0,-1100.0,-1200.0
기타,오런오렌지황이중코팅,0.0,2026-07,-100.0,-200.0,-300.0,-400.0,-500.0,-600.0,-700.0,-800.0,-900.0,-1000.0,-1100.0,-1200.0
기타,오런줄기사3P,0.0,2026-07,-261.0,-535.0,-761.0,-1006.0,-1251.0,-1415.0,-1579.0,-1755.0,-1981.0,-2145.0,-2617.0,-2862.0
기타,오런탑(M)하늘,-200.0,2026-07,-328.0,-528.0,-728.0,-898.0,-1098.0,-1298.0,-1468.0,-1668.0,-1868.0,-2161.0,-2289.0,-2489.0
기타,오런탑(S)핑크,0.0,2026-07,-120.0,-270.0,-410.0,-550.0,-614.0,-714.0,-874.0,-1024.0,-1174.0,-1281.0,-1381.0,-1531.0
기타,오런탑도트(M)하늘,237.0,2026-11,222.0,185.0,98.0,45.0,-11.0,-41.0,-102.0,-104.0,-175.0,-270.0,-306.0,-399.0
기타,오런투라인10P(영남),120.0,2026-07,-13.0,-133.0,-329.0,-489.0,-634.0,-697.0,-811.0,-918.0,-962.0,-1107.0,-1252.0,-1271.0
기타,오런투라인장갑10P(식자재),90.0,2026-07,-6.0,-103.0,-195.0,-287.0,-384.0,-451.0,-554.0,-633.0,-687.0,-779.0,-845.0,-910.0
기타,"오런포리PU(L)회손바닥(10P)(A)""바코드작업",0.0,2026-07,-58.0,-145.0,-162.0,-210.0,-268.0,-297.0,-336.0,-365.0,-423.0,-510.0,-539.0,-578.0
기타,오런포리PU(L)회손바닥(10P)(U)바코드작업,-50.0,2026-07,-117.0,-184.0,-251.0,-318.0,-385.0,-452.0,-519.0,-586.0,-644.0,-702.0,-769.0,-852.0
기타,"오런포리PU(M)회손바닥(10P)(A)""바코드작업",0.0,2026-07,-38.0,-91.0,-121.0,-151.0,-206.0,-236.0,-289.0,-319.0,-363.0,-422.0,-452.0,-496.0
기타,오런포리PU(M)회손바닥(10P)(U)바코드작업,0.0,2026-07,-67.0,-134.0,-201.0,-268.0,-335.0,-402.0,-469.0,-536.0,-594.0,-652.0,-719.0,-802.0
기타,오런표백도트장갑10P(식자재),90.0,2026-10,59.0,41.0,13.0,-42.0,-70.0,-98.0,-181.0,-218.0,-246.0,-283.0,-314.0,-342.0
기타,오런표백실장갑5P(영남),660.0,2026-11,541.0,407.0,228.0,35.0,-84.0,-173.0,-285.0,-419.0,-486.0,-687.0,-910.0,-1004.0
기타,오런행사용장갑10P(식자재),60.0,2026-07,-57.0,-154.0,-263.0,-370.0,-491.0,-574.0,-727.0,-786.0,-821.0,-904.0,-999.0,-1119.0
기타,오런행사용장갑2P(밴드),250.0,2026-08,4.0,-499.0,-839.0,-1171.0,-1566.0,-2184.0,-2682.0,-3077.0,-3465.0,-3803.0,-4395.0,-4735.0
기타,응원장갑(청),0.0,2026-07,-152.0,-304.0,-456.0,-608.0,-760.0,-912.0,-1064.0,-1290.0,-1381.0,-1607.0,-1723.0,-1824.0
기타,절단방지코팅장갑(L)1P,0.0,2026-07,-15.0,-30.0,-45.0,-60.0,-75.0,-90.0,-105.0,-120.0,-135.0,-150.0,-168.0,-180.0
기타,절단방지코팅장갑(M),0.0,2026-07,-15.0,-16.0,-17.0,-43.0,-44.0,-45.0,-46.0,-47.0,-51.0,-55.0,-56.0,-112.0
기타,지연입고 상금,0.0,2026-07,-1.0,-2.0,-3.0,-4.0,-5.0,-6.0,-7.0,-8.0,-9.0,-10.0,-11.0,-12.0
기타,청포도 + 오렌지 작업 필요,0.0,2026-07,-20.0,-40.0,-60.0,-80.0,-100.0,-120.0,-140.0,-160.0,-180.0,-200.0,-220.0,-240.0
기타,크린랲반코팅장갑3켤레,600.0,2026-07,-134.0,-1744.0,-2192.0,-3558.0,-4964.0,-5596.0,-7899.0,-8755.0,-9917.0,-10997.0,-11425.0,-12485.0
기타,크린랲완전코팅,-1.0,2026-07,-151.0,-551.0,-663.0,-1000.0,-1225.0,-1337.0,-1506.0,-1731.0,-2068.0,-2180.0,-2349.0,-2749.0
기타,한스피엠아이 메디 차액 정산,0.0,2026-07,-140.0,-280.0,-420.0,-560.0,-700.0,-840.0,-980.0,-1120.0,-1260.0,-1400.0,-1540.0,-1680.0
기타,화로장갑(L)(1P),-1.0,2026-07,-6.0,-17.0,-28.0,-36.0,-37.0,-42.0,-53.0,-90.0,-94.0,-100.0,-140.0,-148.0
기타,화로장갑(M)(1P),0.0,2026-07,-20.0,-27.0,-59.0,-75.0,-89.0,-109.0,-129.0,-150.0,-180.0,-223.0,-228.0,-248.0
기타,화로장갑(long)(L)(1P),-5.0,2026-07,-7.0,-15.0,-27.0,-35.0,-39.0,-42.0,-50.0,-53.0,-59.0,-69.0,-77.0,-83.0
기타,화로장갑(long)(M)(1P),0.0,2026-07,-1.0,-2.0,-3.0,-6.0,-8.0,-10.0,-11.0,-12.0,-13.0,-14.0,-15.0,-16.0
기타,후디스PU코팅(L)(회)1P(신규바코드),0.0,2026-07,-98.0,-172.0,-283.0,-578.0,-679.0,-953.0,-1110.0,-1184.0,-1258.0,-1332.0,-1421.0,-1501.0
기타,후디스PU코팅(M)(회)1P(신규바코드),0.0,2026-07,-154.0,-285.0,-505.0,-597.0,-817.0,-1141.0,-1337.0,-1468.0,-1576.0,-1679.0,-1783.0,-1875.0
기타,후디스PU코팅(S)(회)1P(신규바코드),0.0,2026-07,-95.0,-159.0,-223.0,-287.0,-407.0,-502.0,-622.0,-686.0,-806.0,-846.0,-966.0,-1022.0
기타,후디스고무장갑(L)투(5P)(A),320.0,2026-09,201.0,90.0,-108.0,-241.0,-435.0,-629.0,-800.0,-957.0,-1144.0,-1232.0,-1358.0,-1502.0
기타,"후디스고무장갑(L)핑(5P) ""바코드작업""",0.0,2026-07,-35.0,-70.0,-118.0,-153.0,-205.0,-261.0,-304.0,-356.0,-428.0,-454.0,-493.0,-539.0
기타,후디스고무장갑(L)핑(5P)(A),-60.0,2026-07,-242.0,-444.0,-677.0,-906.0,-1233.0,-1542.0,-1805.0,-2025.0,-2299.0,-2455.0,-2682.0,-2900.0
기타,후디스고무장갑(M)적(5P),0.0,2026-07,-20.0,-40.0,-60.0,-80.0,-115.0,-135.0,-145.0,-165.0,-185.0,-205.0,-225.0,-245.0
기타,후디스고무장갑(M)투(5P)(A),0.0,2026-07,-135.0,-270.0,-482.0,-699.0,-870.0,-1141.0,-1376.0,-1574.0,-1718.0,-1880.0,-2060.0,-2222.0
기타,"후디스고무장갑(M)핑(5P) ""바코드작업""",0.0,2026-07,-58.0,-105.0,-159.0,-192.0,-237.0,-286.0,-340.0,-376.0,-416.0,-447.0,-496.0,-536.0
기타,후디스고무장갑(M)핑(5P)(A),620.0,2026-10,451.0,241.0,19.0,-215.0,-513.0,-803.0,-988.0,-1222.0,-1472.0,-1689.0,-1937.0,-1986.0
기타,후디스고무장갑(S)투(5P)(A),-120.0,2026-07,-247.0,-420.0,-551.0,-712.0,-885.0,-1010.0,-1279.0,-1404.0,-1529.0,-1654.0,-1827.0,-1928.0
기타,"후디스고무장갑(S)핑(5P) ""바코드작업""",0.0,2026-07,-31.0,-77.0,-110.0,-135.0,-168.0,-218.0,-237.0,-266.0,-295.0,-326.0,-364.0,-389.0
기타,후디스고무장갑(XL)투(5P)(A),680.0,2027-05,612.0,532.0,468.0,414.0,333.0,272.0,225.0,164.0,123.0,62.0,-6.0,-74.0
기타,"후디스고무장갑(XL)핑(5P)""바코드작업""",0.0,2026-07,-42.0,-80.0,-115.0,-150.0,-178.0,-206.0,-241.0,-269.0,-297.0,-321.0,-370.0,-396.0
기타,후디스고무장갑(XL)핑(5P)(A),160.0,2026-09,62.0,6.0,-116.0,-199.0,-299.0,-399.0,-462.0,-579.0,-653.0,-751.0,-841.0,-932.0
기타,후디스다용도미니3P(노랑),238.0,2026-07,-2920.0,-4674.0,-4864.0,-5179.0,-6994.0,-8116.0,-13036.0,-16258.0,-16828.0,-17214.0,-18614.0,-20242.0
기타,후디스다용도미니3P(백색),-52.0,2026-07,-244.0,-411.0,-750.0,-1003.0,-1321.0,-1561.0,-1819.0,-2083.0,-2354.0,-2885.0,-3262.0,-3562.0
기타,후디스더블NBR(L)파(오른손1개),0.0,2026-07,-30.0,-60.0,-90.0,-120.0,-150.0,-180.0,-210.0,-240.0,-270.0,-300.0,-330.0,-360.0
기타,후디스더블NBR(L)파(왼손1개),0.0,2026-07,-30.0,-60.0,-90.0,-120.0,-150.0,-180.0,-210.0,-240.0,-270.0,-300.0,-330.0,-360.0
기타,후디스면장갑2P(슈퍼용),700.0,2026-10,534.0,368.0,18.0,-332.0,-498.0,-788.0,-1138.0,-1304.0,-1594.0,-1944.0,-2110.0,-2400.0
기타,후디스면장갑3호(단추)(납품용),0.0,2026-07,-13767.0,-22027.0,-29599.0,-40613.0,-48873.0,-57133.0,-69065.0,-81060.0,-97122.0,-110889.0,-120819.0,-133003.0
